,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
5565,11345976,-9.8,-12.7,5.0,5.4,1007.2,0.1,94.2,5.0,100.0,1219.0,Moderate snow,1.0,0.0,2022-02-05 15:00,63.0299987792969,-145.5
5566,11346309,29,31.67,9.0,160.0,1015.9,0.2,55.0,10.0,50.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-16.8199996948242,-49.2400016784668
5567,11346642,22.5,24.9,6.5,313.8,1010.9,0.3,92.8,10.0,60.8,1240.0,Light rain shower,5.0,1.0,2022-02-05 15:00,-24.3999996185303,-50.8300018310547
5568,11346975,-19.1,-24.1,6.1,234.4,1038.0,0.0,97.4,0.0,80.0,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,51.3499984741211,110.5
5569,11347308,28,31.25,16.9,20.0,1015.9,0.0,62.0,10.0,75.0,1189.0,Moderate rain,7.0,1.0,2022-02-05 15:00,-19.7800006866455,-47.9700012207031
5570,11347641,-29,-37.81,0.0,0.0,1003.0,0.0,68.0,16.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,61.3699989318848,-139.029998779297
5571,11347974,14,12.03,6.8,260.0,1020.0,0.2,77.0,10.0,75.0,1003.0,Partly cloudy,3.0,1.0,2022-02-05 15:00,31.7199993133545,35.2000007629395
5572,11348307,-22.2,-29.0,8.3,157.3,1042.8,0.0,91.4,10.0,31.3,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,48.9199981689453,106.069999694824
5573,11348640,14,12.03,6.8,260.0,1020.0,0.2,77.0,10.0,75.0,1003.0,Partly cloudy,3.0,1.0,2022-02-05 15:00,31.7199993133545,35.2000007629395
5574,11348973,0.6,-0.38,0.0,353.6,1030.8,0.0,63.0,16.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,41.7799987792969,-122.470001220703
5575,11349306,1,-6.2,31.0,300.0,1014.9,0.0,51.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,41.7299995422363,45.3300018310547
5576,11349639,-1,-1.0,6.1,280.0,1017.9,0.0,69.0,10.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,39.9500007629395,32.6800003051758
5577,11349972,-20.7,-27.8,9.4,270.8,1035.0,0.0,97.2,0.0,71.5,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,51.2000007629395,113.720001220703
