lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability,Power (W)
55.0,1.5,283.71,1009,70,278.47,0.0,100,18.09,305,23.61,0.58459955,7438581.31
55.0,2.0,281.74,1008,71,276.79,0.0,100,17.47,300,23.21,0.6432597,7066877.69
55.5,-8.0,283.18,1021,84,280.6,0.05,100,11.51,282,15.81,0.7579706,2233560.72
55.5,-7.5,284.15,1021,84,281.55,0.0,100,12.21,285,16.61,0.59487504,2590067.31
55.5,-7.0,283.22,1020,84,280.64,0.0,100,12.96,290,17.51,0.70194525,3034314.49
55.5,-6.5,283.22,1020,84,280.64,0.0,100,12.94,293,17.81,0.408641,3192963.19
55.5,-6.0,283.2,1019,84,280.62,0.0,100,13.74,295,18.61,0.5140183,3642849.86
55.5,-5.5,283.2,1019,87,281.14,0.0,75,10.29,290,18.33,0.6927361,3480883.98
55.5,-5.0,282.86,1017,77,279.03,0.0,100,11.92,294,19.31,0.6301547,4069574.23
55.5,-4.5,282.31,1017,71,277.33,0.0,20,13.38,290,18.33,0.5945037,3480883.98
55.5,-4.0,279.8,1016,85,277.46,0.0,100,11.64,291,21.01,0.59018165,5241798.36
55.5,-3.5,279.71,1015,81,276.69,0.0,100,11.88,296,23.01,0.60404426,6885762.02
55.5,-3.0,280.68,1013,66,274.75,0.0,100,12.28,296,24.61,0.63370836,8424361.49
55.5,-2.5,282.39,1013,63,275.72,0.0,100,10.05,290,21.41,0.5860806,5546923.23
55.5,-2.0,282.45,1012,68,276.85,0.0,100,11.52,292,22.41,0.5801095,6361034.09
55.5,-1.5,284.12,1011,58,276.19,0.0,75,10.8,270,15.95,0.65950143,2293423.27
55.5,-1.0,284.11,1012,69,278.65,0.0,100,16.55,297,22.11,0.39315987,6108975.47
55.5,-0.5,284.28,1011,71,279.23,0.0,100,16.23,300,21.41,0.5632746,5546923.23
55.5,0.0,282.0,1010,71,277.04,0.0,95,15.51,303,21.61,0.47844705,5703828.43
55.5,0.5,282.0,1010,67,276.22,0.0,96,17.89,306,24.21,0.29601914,8020224.43
55.5,1.0,281.75,1009,70,276.6,0.0,100,16.91,306,21.91,0.37166253,5944691.01
55.5,1.5,281.79,1008,69,276.43,0.0,100,17.53,309,23.91,0.46288636,7725754.11
55.5,2.0,281.64,1008,73,277.08,0.0,100,16.67,305,22.61,0.46155787,6532867.35
56.0,-8.0,283.21,1020,83,280.46,0.0,100,12.18,292,15.81,0.61948913,2233560.72
56.0,-7.5,282.19,1020,82,279.29,0.0,100,12.52,292,16.31,0.36579984,2452246.01
56.0,-7.0,282.19,1019,81,279.11,0.0,100,12.81,293,16.71,0.5708355,2637129.78
56.0,-6.5,283.22,1019,82,280.29,0.0,100,12.55,295,16.81,0.8549277,2684758.92
56.0,-6.0,283.22,1019,83,280.47,0.0,100,11.52,295,16.41,0.37371874,2497628.82
56.0,-5.5,280.61,1018,84,278.09,0.0,100,9.64,299,16.31,0.3986178,2452246.01
56.0,-5.0,281.76,1016,83,279.04,0.0,100,9.42,294,19.31,0.6092744,4069574.23
56.0,-4.5,281.45,1016,72,276.71,0.0,75,5.66,280,18.33,0.5703547,3480883.98
56.0,-4.0,281.74,1015,66,275.76,0.0,99,9.24,288,19.81,0.6100635,4393954.75
56.0,-3.5,282.83,1013,62,275.91,0.0,20,9.77,270,16.98,0.5119633,2767038.56
56.0,-3.0,282.8,1011,62,275.88,0.0,100,2.68,234,6.71,0.6274778,170753.54
56.0,-2.5,282.86,1012,69,277.45,0.0,100,14.64,284,20.31,0.40968174,4735130.18
56.0,-2.0,282.85,1011,70,277.65,0.0,100,16.07,296,21.11,0.355792,5317002.36
56.0,-1.5,284.28,1010,70,279.02,0.0,87,15.73,304,21.61,0.6329248,5703828.43
56.0,-1.0,281.96,1010,68,276.39,0.0,68,17.05,302,23.21,0.64211476,7066877.69
56.0,-0.5,281.88,1010,67,276.1,0.0,87,16.97,302,22.31,0.60080147,6276259.10
56.0,0.0,281.96,1009,63,275.31,0.0,97,17.17,304,21.91,0.5830561,5944691.01
56.0,0.5,281.63,1008,70,276.48,0.0,96,15.14,307,20.81,0.56037134,5093524.43
56.0,1.0,281.35,1008,70,276.21,0.0,100,18.49,308,24.91,0.56075335,8736215.45
56.0,1.5,281.45,1007,71,276.51,0.0,100,18.94,305,23.91,0.3142885,7725754.11
56.0,2.0,281.23,1006,73,276.69,0.0,71,18.46,306,23.91,0.5952039,7725754.11
56.5,-8.0,282.19,1019,81,279.11,0.0,100,12.75,293,16.71,0.62470305,2637129.78
56.5,-7.5,282.19,1019,81,279.11,0.0,100,12.87,294,16.41,0.43376598,2497628.82
56.5,-7.0,282.19,1017,76,278.19,0.0,40,10.29,310,18.33,0.5895187,3480883.98
